County,Value
None,0
Mandera,1.6
Turkana,2.1
Marsabit,3
Wajir,1.8
West Pokot,2.5
Samburu,1
Trans Nzoia,1
Isiolo,1
Elgeyo-Marakwet,1
Bungoma,2.9
Baringo,2.5
Uasin Gishu,2.5
Busia,1
Kakamega,2
Laikipia,1
Meru,3
Vihiga,3
Siaya,2
Kisumu,2
Tharaka-Nithi,2
Kericho,2.5
Nyandarua,1.4
Nyeri,1.9
Nakuru,1.7
Garissa,2
Kirinyaga,3
Homa Bay,2.9
Embu,1.8
Nyamira,2
Bomet,1
Kisii,1.2
Murang'a,1.9
Migori,2
Kiambu,2.2
Narok,2.5
Machakos,2
Nairobi,2.8
Kitui,1.8
Tana River,3
Lamu,1.2
Kajiado,1
Makueni,3
Kilifi,1
Taita Taveta,2
Mombasa,2
Kwale,3
