Subcounty,Value
None,0
Ainamoi,1.6
Banissa,2.1
Belgut,3
Borabu,1.8
Bureti,2.5
Cherangany,1
Emuhaya,1
Emurua Dikirr,1
Endebess,1
Hamisi,2.9
Kajiado Central,2.5
Kajiado Central,2.5
Kajiado East,1
Kajiado East,2
Kajiado North,1
Kajiado North,3
Kajiado South,3
Kajiado South,2
Kajiado West,2
Kajiado West,2
Kieni,2.5
Kieni,1.4
Kilgoris,1.9
Kiminini,1.7
Kipkelion East,2
Kipkelion West,3
Kitutu Masaba,2.9
Kwanza,1.8
Lafey,2
Luanda,1
Mandera East,1.2
Mandera North,1.9
Mandera South,2
Mandera West,2.2
Mathira,2.5
Mathira,2
Mukurweini,2.8
Mukurweini,1.8
Narok East,3
Narok North,1.2
Narok South,1
Narok West,3
North Mugirango,1
Nyeri Town,2
Nyeri Town,2
Othaya,3
Othaya,1
Sabatia,3
Saboti,2.5
Samburu East,3
Samburu North,3
Samburu West,2
Sigowet/Soin,3
Tetu,1
Tetu,1
unknown 1,1.2
Vihiga,1
West Mugirango,2.1
